PatchNumber,CuttingNumber,Elevation,Slope,Direction,Transect,Species,CapsuleCount,ShootLength,LeafSize,PatchSize,PatchesonCutting,CuttingLength,CuttingWidth,CuttingBranches,Lat,Long,In Herbarium?,In Fog Chamber?
1,1,1196,-60,S,coastal,,0,11.62,7.24,344.7,4,111.5,7.3,4,37.68876,122.43742,,
2,1,1196,-60,S,coastal,,2,12.46,6.97,960.6,4,111.5,7.3,4,37.68876,122.43742,,
3,1,1196,-60,S,coastal,,0,10.8,5.62,954.6,4,111.5,7.3,4,37.68876,122.43742,,
4,1,1196,-60,S,coastal,,1,15.74,7.99,428.3,4,111.5,7.3,4,37.68876,122.43742,,
5,2,1194,-70,SW,coastal,,0,1.56,1.02,11.1,9,360.1,11,31,37.4119,122.2616,,
6,2,1194,-70,SW,coastal,,0,3.37,1.54,11.8,9,360.1,11,31,37.4119,122.2616,,
7,2,1194,-70,SW,coastal,,0,12,2.95,271.8,9,360.1,11,31,37.4119,122.2616,,
8,2,1194,-70,SW,coastal,,0,8.15,5.58,609.9,9,360.1,11,31,37.4119,122.2616,,
9,2,1194,-70,SW,coastal,,0,17.95,3.22,616.8,9,360.1,11,31,37.4119,122.2616,,
10,2,1194,-70,SW,coastal,,0,7.42,4.23,660.8,9,360.1,11,31,37.4119,122.2616,,
11,2,1194,-70,SW,coastal,,3,11.47,1.66,569.7,9,360.1,11,31,37.4119,122.2616,,
12,2,1194,-70,SW,coastal,,0,2.22,1.48,51.2,9,360.1,11,31,37.4119,122.2616,,
13,2,1194,-70,SW,coastal,,0,7.13,3.45,200.5,9,360.1,11,31,37.4119,122.2616,,
14,3,1181,-65,NW,coastal,,0,7.53,2.59,93.8,6,283.2,6,10,,,,
15,3,1181,-65,NW,coastal,,0,9.51,4.11,297.6,6,283.2,6,10,,,,
16,3,1181,-65,NW,coastal,,0,7.5,3.51,440.7,6,283.2,6,10,,,,
17,3,1181,-65,NW,coastal,,0,13.89,3.37,276.8,6,283.2,6,10,,,,
18,3,1181,-65,NW,coastal,,0,5.23,4.52,206.3,6,283.2,6,10,,,,
19,3,1181,-65,NW,coastal,,0,2.55,3.7,26.9,6,283.2,6,10,,,,
20,4,1154,-65,SW,coastal,,0,9.57,3.78,545.3,4,345.5,8.1,11,,,,
21,4,1154,-65,SW,coastal,,0,2.47,2.22,57.4,4,345.5,8.1,11,,,,
22,4,1154,-65,SW,coastal,,0,4.61,4.05,20,4,345.5,8.1,11,,,,
23,4,1154,-65,SW,coastal,,0,5.93,3.66,18.9,4,345.5,8.1,11,,,,
