UniqueID,Branch,Side,BranchTransect,Genus,Species,Sexual,Asexual,LobeLength,LobeWidth,PatchLength,PatchWidth ,PatchHeight,Elevation,Slope,SlopeFacing,LatN,LongW,CoastalInland,,,,
B1SAHL01,1,A,"1, 2",Heterodermia,Heterodermia leucomela,N,N,7,0.5,15.5,11.5,7.5,1196,-60,S,37.68876,122.4374,C,,,,
B1SAHL02,1,A,"4, 5, 6, 7, 8",Heterodermia,Heterodermia leucomela,N,Y,17,1.5,21,35.5,9,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP01,1,A,7,Parmotrema,Parmotrema perlatum,N,N,5,5.5,6.5,7,0.5,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP02,1,A,8,Parmotrema,Parmotrema perlatum,N,N,1.5,2,4.5,3.5,0.1,1196,-60,S,37.68876,122.4374,C,,,,
B1SAU_01,1,A,10,Usnea,NA,N,Y,12,0.5,10,7,10,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP03,1,A,10,Parmotrema,Parmotrema perlatum,N,N,4.5,2,4.5,3,0.1,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP04,1,A,13,Parmotrema,Parmotrema perlatum,N,N,5,6,7,6,0.5,1196,-60,S,37.68876,122.4374,C,,,,
B1SBPP01,1,B,"3, 4, 5",Parmotrema,Parmotrema perlatum,N,Y,12,13.5,8,23,5,1196,-60,S,37.68876,122.4374,C,,,,
B1SBHL01,1,B,"4, 5",Heterodermia,Heterodermia leucomela,N,Y,17,2,25.5,34,7,1196,-60,S,37.68876,122.4374,C,,,,
B1SBPP02,1,B,"6, 7",Parmotrema,Parmotrema perlatum,N,N,3,2.5,10,9,1,1196,-60,S,37.68876,122.4374,C,,,,
B1SBCr01,1,B,10,Crustose,NA,NA,NA,NA,NA,NA,NA,NA,1196,-60,S,37.68876,122.4374,C,,,,
B1SBPP03,1,B,12,Parmotrema,Parmotrema perlatum,N,N,2,3,8,7,0.5,1196,-60,S,37.68876,122.4374,C,,,,
B2SAPP01,2,A,"2, 3, 4",Parmotrema,Parmotrema perlatum,N,N,8.5,10,20,19.5,1.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP02,2,A,"5, 6",Parmotrema,Parmotrema perlatum,N,Y,9,6,16,11.5,3,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAHL01,2,A,"5, 6, 7, 8",Heterodermia,Heterodermia leucomela,N,Y,9,1.5,28,18,9.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP03,2,A,13,Parmotrema,Parmotrema perlatum,N,N,2,1,2,1,0.2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPA01,2,A,15,Physcia,Physcia adscendens,N,N,1,1,6.5,5,0.2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP04,2,A,"17, 18, 19, 20, 21",Parmotrema,Parmotrema perlatum,N,Y,7,4.5,45,21.5,4,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAU_01,2,A,"20, 21",Usnea,NA,N,N,8,0.3,17.5,14,8,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP05,2,A,"22, 23, 24",Parmotrema,Parmotrema perlatum,N,N,7.5,10,27,17,2.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAU_02,2,A,"27, 28",Usnea,NA,N,N,19,0.3,11,12.5,9,1194,-70,SW,37.4119,122.2616,C,,,,
